Nombre,GK,CWP,CBT,SB,DM,WB,CM,SM,AM,WG,SS,CF,X1,Height,Foot,Side,WFA,WFF,Attack,Defense,Balance,Stamina,Speed,Acceleration,Response,Agility,Dribble_Accuracy,Dribble_Speed,Short_Pass_Accuracy,Short_Pass_Speed,Long_Pass_Accuracy,Long_Pass_Speed,Shot_Accuracy,Shot_Power,Shot_Technique,Free_Kick_Accuracy,Swerve,Heading,Jump,Technique,Agression,Mentality,GK_Skills,Teamwork,Consistency,Condition,Dribbling,Tactical_Dribble,Positioning,Reaction,Playmarking,Passing,Scoring,1_1_Scoring,Post_Player,Lines,Middle_Shooting,Side,Centre,Penalties,1_Touch_Pass,Outside,Marking,Sliding,Covering,D_Line_Control,Penalty_Stopper,1_On_1_Stopper,Long_Throw,Injury_Tolerancy,X3,X4,X5,X6,Age,Weight,Pais,N_Pais,X7,Club,N_Club
Leonardo Vaca,0,0,0,0,0,0,0,0,0,1,1,0,11,174,R,B,4,4,67,39,74,78,82,75,72,77,74,77,67,69,67,65,69,80,70,65,69,68,67,76,83,65,50,67,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,23,68,Bolivia,0,0,,0
M. Valdifiori,0,0,0,0,1,0,0,0,0,0,0,0,5,185,R,B,4,4,63,68,74,73,71,72,70,72,82,72,84,83,84,80,63,79,69,73,82,61,69,82,64,78,50,80,8,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,B,1,1,1,1,33,71,Italy,0,0,SPAL 2013,6
Juan Fuentes,0,0,1,0,0,0,0,0,0,0,0,0,3,176,R,B,5,4,62,69,79,86,76,76,77,76,79,77,75,66,74,71,60,78,69,60,66,65,84,68,63,70,40,78,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,A,1,1,1,1,25,72,Chile,0,0,,0
Moussa Diaby,0,0,0,0,0,0,0,1,0,1,0,0,8,170,L,B,4,4,76,41,76,82,90,88,76,86,81,86,75,77,77,72,73,79,71,63,70,57,61,81,84,65,50,69,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,20,67,France,0,0,Bayer 04 Leverkusen,19
Karlo Bartolec,0,0,0,1,0,0,0,0,0,0,0,0,4,176,R,R,5,4,73,62,76,86,83,83,79,84,76,79,75,66,71,70,63,78,69,61,74,60,79,72,71,69,50,78,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,24,78,Croatia,22,0,,0
Giulio Donati,0,0,0,1,0,1,0,1,0,0,0,0,4,178,R,R,4,5,68,65,78,85,82,79,75,75,76,80,72,75,74,77,61,80,62,54,70,70,78,74,75,73,50,75,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,30,80,Italy,0,0,US Lecce,7
Hernani,0,0,0,0,1,0,1,0,0,0,0,0,7,188,R,B,4,4,68,68,81,83,77,78,79,73,80,76,77,77,79,79,69,85,69,77,76,79,78,80,70,70,50,79,8,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,26,77,Brazil,0,0,Parma Calcio 1913,10
Colin Dagba,0,0,0,1,0,0,0,0,0,0,0,0,4,170,R,B,4,4,67,63,72,83,82,83,75,82,76,78,68,70,71,72,60,66,61,57,60,56,66,74,79,68,50,69,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,20,62,France,0,0,Paris Saint-Germain FC,31
Tom Lockyer,0,0,1,0,0,0,0,0,0,0,0,0,3,180,R,B,5,6,57,73,80,84,71,74,77,73,66,69,67,72,68,70,53,68,53,50,52,72,82,68,57,73,50,70,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,25,72,Wales,16,0,,0
Andrés León,0,0,0,1,1,0,1,0,0,0,0,0,5,172,R,R,3,3,56,60,76,72,74,76,67,76,65,73,66,66,66,66,61,76,61,60,61,65,76,66,63,66,40,72,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,21,68,Chile,0,0,Deportes Temuco,27
Nemanja Radoja,0,0,0,0,1,0,1,0,0,0,0,0,5,186,R,B,5,4,68,69,79,82,72,74,77,78,82,74,81,75,78,76,63,80,63,66,71,66,69,81,72,72,50,81,8,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,26,77,Serbia and Montenegro,0,0,Levante UD,5
Alfred Canales,0,0,0,0,0,0,1,0,0,0,0,0,7,186,R,B,5,4,62,54,76,70,73,75,74,75,73,73,71,65,73,74,60,76,69,69,69,64,72,66,67,69,40,76,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,20,70,Chile,0,0,Audax Italiano,26
Willian,0,0,0,0,0,0,0,1,0,1,1,1,10,171,R,B,3,2,77,46,78,83,83,83,80,83,81,83,73,78,74,77,77,82,84,68,82,77,81,84,87,75,50,68,8,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,33,73,Brazil,0,0,SE Palmeiras,29
Ramazan Özcan,1,0,0,0,0,0,0,0,0,0,0,0,0,187,L,B,4,4,30,79,84,62,68,72,84,70,57,56,58,66,66,79,44,84,44,44,48,55,81,55,64,73,77,72,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,33,84,Austria,0,0,Bayer 04 Leverkusen,28
Elba Rashani,0,0,0,0,0,0,0,0,0,1,0,1,10,181,L,L,4,4,67,35,67,75,83,81,64,77,75,81,66,66,69,68,64,72,65,60,69,60,65,75,76,63,40,65,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,26,69,Liberia,0,0,,0
Michy Batshuayi,0,0,0,0,0,0,0,0,0,0,0,1,12,185,R,B,4,4,83,38,80,78,84,86,84,77,81,83,72,73,65,67,81,82,81,69,67,80,78,80,86,65,50,63,8,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,24,78,Belgium,23,0,Chelsea FC,23
N. Milunovi,0,0,1,0,0,0,0,0,0,0,0,0,3,193,R,B,6,6,58,79,82,77,76,72,70,64,78,72,75,80,78,83,60,76,60,60,69,78,84,76,62,58,50,76,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,B,1,1,1,1,30,86,Serbia and Montenegro,13,0,,0
Isaac Lihadji,0,0,0,0,0,0,0,0,1,1,0,0,10,177,L,R,6,7,65,32,68,74,81,84,67,86,79,82,68,68,67,68,62,69,65,56,58,53,56,82,78,64,50,66,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,17,70,France,0,0,Olympique de Marseille,38
George Saville,0,0,0,0,1,0,1,0,1,0,0,0,7,176,L,B,5,5,69,63,76,81,77,76,76,76,75,70,78,75,74,73,67,79,67,60,63,68,70,76,77,71,50,74,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,27,73,Northern Ireland,6,0,,0
Rachid Alioui,0,0,0,0,0,0,0,0,0,0,0,1,12,186,R,R,5,5,76,38,79,73,79,78,81,72,81,73,70,70,78,75,77,87,81,74,79,75,74,77,84,71,50,76,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,B,1,1,1,1,27,82,Morocco,0,0,,0
Mert Müldür,0,0,1,1,0,0,0,0,0,0,0,0,4,188,R,R,4,4,65,69,80,78,78,79,76,74,73,73,71,68,73,70,60,73,63,53,62,77,77,73,72,68,50,72,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,21,75,Turkey,13,0,US Sassuolo Calcio,17
J. de Guzmán,0,0,0,0,0,0,1,1,1,0,0,0,9,175,R,B,4,3,76,62,77,82,82,83,75,83,83,81,82,79,83,78,74,84,77,83,85,65,77,83,78,74,50,75,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,B,1,1,1,1,30,70,Netherlands,0,0,Eintracht Frankfurt,6
J. Roussillon,0,0,0,1,0,1,0,1,0,0,0,0,4,181,L,L,4,4,72,62,77,86,86,87,72,79,76,83,70,72,77,77,62,74,63,60,73,64,70,72,82,70,50,70,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,2,1,1,1,26,77,France,0,0,Vfl Wolfsburgo,15
George Baldock,0,0,0,1,0,0,0,1,0,0,0,0,4,178,R,B,5,4,66,66,75,81,81,82,76,72,75,75,72,74,74,73,67,77,66,64,69,72,74,76,75,72,50,73,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,26,71,England,0,0,Sheffield United FC,2
Jordy Clasie,0,0,0,0,1,0,1,0,0,0,0,0,7,169,R,B,7,6,67,66,74,80,73,77,80,81,78,72,84,80,83,83,63,80,66,73,81,62,65,82,66,78,50,81,8,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,27,68,Netherlands,0,0,,0
Vincent Kompany,0,0,1,0,0,0,0,0,0,0,0,0,3,191,R,B,5,2,62,84,93,80,80,73,84,67,78,74,82,85,83,86,67,85,71,65,72,82,84,80,65,89,50,83,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,C,1,1,1,1,33,85,Belgium,0,0,,0
T. Vermaelen,0,0,1,0,0,0,0,0,0,0,0,0,3,183,L,L,5,5,66,83,82,75,77,76,78,68,79,73,80,83,83,84,66,84,70,74,74,84,88,76,66,80,50,78,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,C,3,8,1,1,32,80,Belgium,0,0,,0
Dario Melnjak,0,0,0,1,0,0,0,0,0,0,0,0,4,180,L,B,5,5,69,62,74,83,81,82,77,80,76,78,72,73,75,75,67,82,66,60,73,70,76,76,80,73,50,73,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,30,69,Croatia,2,0,,0
N. Radonji,0,0,0,0,0,0,0,1,0,1,0,0,10,181,R,L,6,6,68,45,83,80,93,95,68,87,77,88,73,76,74,78,69,89,75,67,74,65,77,83,87,73,50,66,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,B,1,1,1,1,23,75,Serbia and Montenegro,7,0,Olympique de Marseille,7
Diego Rodríguez,0,0,0,0,1,0,1,0,0,0,0,0,5,170,R,B,5,5,63,73,79,88,74,81,81,78,76,72,77,79,80,76,69,80,62,60,70,68,76,77,61,77,50,81,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,B,1,1,1,1,30,70,Uruguay,0,0,San Lorenzo,8
Gustavo Scarpa,0,0,0,0,0,0,0,1,1,1,1,0,9,176,L,B,4,4,77,46,73,81,81,82,72,84,80,82,77,78,78,77,76,84,81,79,83,67,68,83,82,66,50,72,8,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,1,4,1,1,25,65,Brazil,0,0,SE Palmeiras,14
Agustín Urzi,0,0,0,0,0,0,1,1,0,0,0,0,8,168,L,L,5,6,72,42,71,79,88,85,77,84,81,85,72,69,76,70,60,78,69,63,74,62,73,74,84,69,50,78,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,19,61,Argentina,0,0,,0
Kevin Mirallas,0,0,0,0,0,0,0,1,0,1,1,0,10,178,R,B,6,5,77,48,77,76,79,83,78,80,84,82,78,77,77,77,78,82,77,78,82,70,75,82,84,72,50,68,8,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,B,4,1,1,1,31,70,Belgium,0,0,,0
Joseph Aidoo,0,0,1,0,0,0,0,0,0,0,0,0,3,184,R,R,5,5,60,73,84,81,83,80,78,72,67,75,68,69,72,77,60,78,62,61,65,76,87,69,65,70,50,69,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,23,83,Ghana,18,0,RC Celta de Vigo,18
F. Bonazzoli,0,0,0,0,0,0,0,0,0,0,1,1,12,182,L,B,4,4,76,38,79,79,77,78,78,77,76,74,71,71,71,72,76,77,77,60,66,76,73,80,79,71,50,72,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,A,1,1,1,1,22,79,Italy,0,0,UC Sampdoria,9
Andrea Consigli,1,0,0,0,0,0,0,0,0,0,0,0,0,189,R,B,4,4,30,86,84,69,70,72,88,72,50,51,52,58,61,66,44,80,44,44,46,44,82,50,60,76,86,75,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,31,82,Italy,0,0,US Sassuolo Calcio,47
Alisson,0,0,0,0,0,0,0,1,1,0,0,0,8,174,R,B,5,5,74,46,76,81,81,83,76,81,83,83,78,76,77,72,70,77,77,69,76,67,67,82,82,67,50,69,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,26,73,Brazil,0,0,Grêmio FBPA,23
Junior Hoilett,0,0,0,0,0,0,0,1,1,1,1,0,10,173,R,B,5,3,74,41,74,78,86,88,69,85,83,84,74,72,76,80,69,83,76,70,77,63,78,82,86,68,50,69,8,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1,1,1,1,29,72,Canada,0,0,,0
Marcos Rocha,0,0,0,1,0,0,0,0,0,0,0,0,4,176,R,R,4,4,70,61,73,84,82,83,78,79,81,82,75,77,76,80,67,77,67,70,76,66,73,81,84,64,50,73,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,C,1,1,1,1,31,68,Brazil,0,0,SE Palmeiras,2
Amir Abedzadeh,1,0,0,0,0,0,0,0,0,0,0,0,0,186,R,B,3,3,30,74,83,62,61,65,82,70,48,51,55,59,55,59,41,80,41,42,42,42,77,51,64,69,77,69,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,26,80,Iran,22,0,,0
Mërgim Vojvoda,0,0,0,1,0,0,0,1,0,0,0,0,4,187,R,B,4,4,69,70,77,82,82,82,74,79,79,74,76,75,81,76,61,75,57,72,68,78,77,76,75,74,50,75,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,2,1,1,24,78,Liberia,0,0,,0
Sam Adekugbe,0,0,0,1,0,0,0,0,0,0,0,0,4,176,L,L,4,4,69,66,76,83,79,83,73,78,75,80,72,74,79,81,65,83,67,72,76,69,78,78,79,76,50,73,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,24,75,Canada,0,0,,0
Petteri Forsell,0,0,0,0,0,0,0,0,1,0,1,1,9,170,R,B,6,6,69,51,75,75,75,77,75,76,78,76,75,76,73,73,71,84,73,69,74,65,65,76,78,71,50,75,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,28,75,Finland,20,0,,0
Alison,0,0,0,0,1,0,1,0,0,0,0,0,7,180,R,B,4,4,64,69,80,86,76,76,81,71,73,72,73,76,73,76,67,76,69,58,68,72,76,75,66,77,50,69,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,B,1,1,1,1,26,70,Brazil,0,0,Santos FC,5
Frenkie de Jong,0,0,1,0,1,0,1,0,1,0,0,0,7,180,R,B,5,5,76,70,76,90,78,82,82,86,87,95,87,78,81,74,64,73,63,58,83,70,78,87,68,76,50,93,8,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,A,3,1,1,1,22,74,Netherlands,21,0,FC Barcelona,21
Bernardo Silva,0,0,0,0,0,0,0,1,1,1,1,0,9,170,L,B,3,3,84,56,76,90,76,83,78,86,96,90,82,75,84,74,82,78,72,68,83,66,67,96,80,77,50,80,8,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,3,1,1,1,24,65,Portugal,10,0,Manchester City FC,20
Thomas Delaney,0,0,0,0,1,0,1,0,1,0,0,0,7,182,L,B,5,5,76,70,80,91,77,71,84,70,79,73,78,82,81,86,72,86,78,76,80,87,93,82,80,87,50,82,8,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,B,1,1,1,1,27,79,Denmark,8,0,Borussia Dortmund,6
Visar Bekaj,1,0,0,0,0,0,0,0,0,0,0,0,0,191,R,B,3,3,30,75,77,67,62,63,77,73,53,54,55,61,53,59,43,79,35,37,46,43,76,50,64,73,76,67,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,22,82,Liberia,0,0,,0
Lucas Araújo,0,0,0,0,1,0,1,0,0,0,0,0,5,180,L,B,4,4,69,68,76,79,78,75,77,72,75,74,79,75,76,72,67,81,66,72,75,66,71,80,74,73,50,68,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,20,75,Brazil,0,0,Grêmio FBPA,34
Adrian Rus,0,0,1,0,1,0,0,0,0,0,0,0,3,188,R,B,5,4,56,58,79,73,73,74,76,77,78,78,71,65,74,73,56,78,61,65,60,67,80,66,55,65,50,77,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,23,84,Romania,4,0,,0
Luciano,0,0,0,0,0,0,0,0,0,0,1,1,11,178,L,B,4,4,75,38,79,74,79,82,77,81,79,84,75,70,71,69,75,79,78,66,75,77,76,80,82,66,50,71,8,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1,1,1,1,26,69,Brazil,0,0,Grêmio FBPA,9
Fidan Aliti,0,0,1,1,0,0,0,0,0,0,0,0,3,181,L,L,4,4,59,77,84,80,74,73,80,69,76,77,73,72,78,75,59,76,53,74,76,67,80,76,71,69,50,65,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,26,77,Liberia,0,0,,0
Jonathan David,0,0,0,0,0,0,0,0,1,1,1,1,11,177,R,B,7,5,74,49,79,82,81,75,75,79,79,76,71,73,68,70,76,81,73,57,55,78,77,77,84,72,50,72,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,19,77,Canada,0,0,,0
Vahid Amiri,0,0,0,0,0,0,0,1,0,1,0,0,8,179,L,L,3,3,69,45,76,79,79,78,71,78,76,80,73,73,72,74,69,77,62,66,72,70,68,76,79,71,50,72,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,31,71,Iran,11,0,,0
Jin-Su Kim,0,0,0,1,0,0,0,0,0,0,0,0,4,176,L,L,4,4,70,63,74,83,84,84,73,83,79,80,73,71,76,75,65,77,66,68,72,65,71,78,78,72,50,74,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B,1,1,1,1,26,69,South Korea,3,0,,0
Léo Gomes,0,0,0,1,0,0,0,0,0,0,0,0,4,183,R,R,4,5,68,62,78,83,82,81,75,73,70,78,73,76,74,75,66,77,67,58,72,70,75,79,84,66,50,68,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,23,79,Brazil,0,0,Grêmio FBPA,6
Tchê Tchê,0,0,0,1,1,0,1,1,0,0,0,0,7,175,R,B,8,7,72,56,68,82,78,83,68,82,82,83,81,76,74,71,75,77,80,62,81,61,76,78,76,57,50,83,8,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,B,1,1,1,1,27,66,Brazil,0,0,São Paulo,8
Andrés Vilches,0,0,0,0,0,0,0,0,0,0,1,1,12,180,R,L,5,4,76,40,77,73,75,75,77,75,78,78,74,71,74,71,70,80,74,62,74,72,80,74,71,66,40,79,8,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,B,1,1,1,1,28,80,Chile,0,0,Unión La Calera,9
Juan Gutiérrez,0,0,0,0,0,0,1,1,1,0,0,0,9,163,R,B,5,4,69,49,70,79,78,78,68,83,79,79,74,65,70,73,66,79,71,73,71,62,67,76,69,65,40,78,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,4,1,1,1,30,60,Chile,0,0,Cobresal,8
Alexander Nubel,1,0,0,0,0,0,0,0,0,0,0,0,0,193,R,B,4,4,30,83,83,66,63,67,88,70,57,59,60,64,63,68,45,81,46,45,50,55,79,55,66,70,79,71,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,B,1,1,1,1,23,86,Germany,0,0,FC Schalke 04,35
Max Kilman,0,0,1,0,0,0,0,0,0,0,0,0,3,192,L,B,4,3,63,68,76,73,70,67,73,69,74,67,69,71,72,73,55,68,57,50,61,65,62,72,73,63,50,64,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,1,1,1,22,80,England,0,0,Wolverhampton Wanderers FC,49
Ulises Segura,0,0,0,0,0,1,0,1,1,1,1,1,9,183,R,R,4,5,62,41,75,72,86,77,71,81,82,66,70,71,79,70,75,76,77,50,74,67,51,84,72,68,50,68,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,B,2,1,1,1,26,75,Costa Rica,14,0,,0
Amadou Diawara,0,0,0,0,1,0,0,0,0,0,0,0,5,184,R,B,5,5,64,74,81,86,82,77,83,77,78,72,82,78,82,76,60,77,65,54,62,69,68,82,69,77,50,82,8,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,22,74,Guinea,0,0,AS Roma,42
