Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technical,Aggression,Anticipation,Bravery,Composure,Concentration,Decisions,Determination,Flair,Leadership,Off The Ball,Positioning,Teamwork,Vision,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Height_PSD,Foot_PSD,Side_PSD,WFA_PSD,WFF_PSD,Attack_PSD,Defense_PSD,Balance_PSD,Stamina_PSD,Speed_PSD,Acceleration_PSD,Response_PSD,Agility_PSD,Dribble_Accuracy_PSD,Dribble_Speed_PSD,Short_Pass_Accuracy_PSD,Short_Pass_Speed_PSD,Long_Pass_Accuracy_PSD,Long_Pass_Speed_PSD,Shot_Accuracy_PSD,Shot_Power_PSD,Shot_Technique_PSD,Free_Kick_Accuracy_PSD,Swerve_PSD,Heading_PSD,Jump_PSD,Technique_PSD,Agression_PSD,Mentality_PSD,GK_Skills_PSD,Teamwork_PSD,Consistency_PSD,Condition_PSD,Dribbling_SA,Tactical_Dribble_SA,Positioning_SA,Reaction_SA,Playmarking_SA,Passing_PA,Scoring_PA,1_1_Scoring_PA,Post_Player_PA,Lines_PA,Middle_Shooting_PA,Side_PA,Centre_PA,Penalties_PA,1_Touch_Pass_SA,Outside_PA,Marking_PA,Sliding_PA,Covering_PA,D_Line_Control_SA,Penalty_Stopper_PA,1_On_1_Stopper_PA,Long_Throw_PA,Injury_Tolerancy_PSD,Age,Weight
8,12,13,9,14,8,6,10,12,12,11,8,13,14,13,12,15,11,12,13,14,14,8,12,11,12,11,12,17,16,13,8,14,16,14,11,177,R,R,4,4,67,53,76,85,86,85,71,82,75,83,66,69,70,72,62,76,63,60,65,54,68,77,81,66,50,62,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,20,70
8,10,13,10,15,7,16,8,8,16,16,13,15,16,14,16,15,18,15,17,14,11,16,9,18,15,15,15,11,10,9,16,15,13,15,15,193,R,R,5,5,74,91,83,78,77,66,83,60,81,75,83,85,85,89,71,80,76,65,67,81,75,82,70,73,50,80,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,B,32,85
9,11,13,13,14,15,20,14,12,16,16,16,18,14,18,17,17,13,10,11,20,15,19,12,13,14,13,16,13,15,15,16,15,15,17,16,184,R,R,5,4,75,84,85,84,82,76,90,73,81,77,81,82,85,84,69,83,75,74,83,95,90,83,76,95,50,64,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,A,33,82
9,10,12,8,12,14,13,11,11,15,12,13,15,12,15,16,15,13,13,13,14,10,12,11,13,13,11,14,15,15,15,14,18,15,14,13,186,R,B,5,5,62,80,83,85,83,76,83,72,77,73,76,81,75,80,55,70,58,63,70,78,90,77,67,76,50,70,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,B,21,79
9,14,14,9,14,6,9,12,13,13,13,5,13,15,12,14,15,12,14,13,12,11,9,14,12,14,11,16,17,14,15,8,15,18,17,12,176,R,R,4,4,74,56,72,89,90,88,75,83,79,85,77,74,82,79,61,75,62,63,73,64,71,79,85,70,50,74,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,23,66
7,12,10,10,13,8,14,8,12,14,13,7,16,10,15,15,13,12,15,13,14,9,13,12,14,17,10,16,16,13,14,11,15,15,15,14,179,R,B,5,6,65,83,82,84,84,75,82,73,77,72,76,71,76,74,60,78,63,62,71,80,83,78,70,82,50,81,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,A,28,77
12,12,20,15,17,13,7,11,5,3,15,19,4,18,8,12,17,16,13,17,15,18,6,14,7,9,16,12,17,20,16,8,16,16,17,11,173,R,B,7,6,90,45,85,83,84,88,81,90,96,90,86,81,83,79,84,81,78,79,81,66,75,93,84,72,50,90,8,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,B,28,70
13,13,12,11,14,13,12,11,10,12,14,8,12,14,12,12,14,12,13,12,4,14,13,14,13,13,13,13,14,13,15,12,13,13,15,15,182,R,B,5,4,75,68,80,88,84,81,82,81,84,82,84,85,83,84,67,85,66,62,69,64,71,84,77,83,50,81,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,A,21,78
18,18,14,13,18,14,7,17,8,8,20,13,9,16,9,17,9,18,14,17,10,11,12,14,12,16,18,11,10,9,12,10,12,11,13,14,182,R,B,8,6,75,58,77,84,77,78,78,74,81,71,93,84,95,90,84,79,82,81,84,68,73,87,69,75,50,87,8,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,B,29,78
16,16,17,9,19,13,8,12,7,8,19,14,11,18,12,17,13,18,16,18,16,13,13,12,12,16,18,16,13,15,13,7,13,13,14,8,174,R,B,7,5,84,65,74,87,76,85,77,87,88,85,91,86,90,82,73,84,77,75,83,63,71,90,75,78,50,93,8,5,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,B,33,67
10,12,16,16,18,12,14,12,7,7,18,14,9,18,7,14,8,17,12,16,13,17,11,15,10,16,17,13,15,14,15,11,11,15,14,14,185,R,B,8,6,90,30,84,78,81,76,80,74,85,77,83,77,79,73,86,84,83,70,80,86,76,93,81,70,50,84,8,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,B,32,81
15,15,17,13,18,14,9,15,8,5,17,15,8,19,10,14,8,14,14,14,16,18,13,14,11,12,19,10,11,12,17,8,10,12,11,12,176,R,B,5,3,81,51,80,81,74,80,78,86,96,85,88,76,89,86,82,77,81,78,84,68,69,97,84,70,50,90,8,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,B,27,79
7,11,12,18,14,8,15,10,4,5,12,11,5,14,10,16,15,16,10,12,14,13,7,18,6,12,12,9,13,15,17,12,11,15,11,14,181,R,B,7,8,84,42,79,80,82,83,81,76,77,76,76,75,79,77,81,77,85,62,67,83,82,83,88,67,50,73,8,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,21,78
14,16,16,17,14,17,18,19,15,6,14,13,9,16,11,14,11,12,11,12,16,17,9,18,7,10,13,10,14,13,13,15,12,17,17,17,186,L,B,5,3,87,48,79,85,94,87,79,73,85,91,78,79,85,89,88,89,77,90,93,83,88,83,92,77,50,71,8,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,C,29,81
7,13,14,9,12,7,4,10,3,4,10,12,5,12,9,12,10,11,12,11,15,12,4,12,8,13,8,13,16,13,14,6,11,19,13,6,170,R,B,3,3,73,45,71,86,94,96,72,92,77,84,68,65,71,73,64,84,63,60,73,56,62,69,76,67,50,68,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,22,76
7,9,15,14,14,13,8,12,1,2,12,16,3,14,14,11,8,12,12,12,16,18,4,14,3,13,9,16,18,15,13,8,16,17,14,12,188,R,B,5,5,82,41,80,82,91,91,82,83,82,79,75,75,78,82,76,89,76,74,80,74,77,84,87,70,50,72,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,21,70
5,9,19,15,15,7,8,8,2,2,13,16,3,16,8,13,12,14,12,11,10,19,4,14,5,13,10,11,17,16,15,9,14,17,14,12,181,R,L,5,5,83,40,83,81,88,85,77,82,90,93,75,73,76,76,85,84,79,73,78,68,79,91,90,68,50,66,8,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,23,76
6,10,9,10,14,5,14,8,11,12,13,7,16,13,15,16,16,11,13,11,17,6,12,12,14,19,9,19,12,13,16,17,15,13,18,14,193,R,B,4,4,68,71,86,84,81,80,82,67,79,67,77,82,73,77,64,77,65,60,65,68,77,80,66,79,50,76,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,23,88
10,11,11,8,14,10,16,14,10,13,15,12,16,15,12,15,14,16,15,15,13,4,12,8,15,17,13,13,7,7,19,16,15,9,14,17,194,L,B,4,4,67,73,85,81,77,69,77,63,83,72,82,84,83,80,69,83,68,72,78,78,73,84,70,77,50,82,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,B,31,83
10,14,15,12,15,6,9,12,6,12,14,7,13,16,7,13,11,14,12,15,13,12,8,13,11,13,14,13,14,16,10,6,15,13,13,10,169,L,B,4,4,69,65,76,88,82,84,81,84,77,73,78,77,81,75,64,78,70,63,69,73,82,79,70,71,50,75,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,25,64
8,12,13,13,14,6,5,12,4,5,13,10,6,14,15,14,13,12,12,13,16,13,5,18,10,16,12,17,15,15,13,5,16,15,17,8,175,R,B,5,4,77,48,76,90,80,86,82,86,78,85,77,75,77,71,76,77,77,62,77,77,71,81,86,78,50,81,8,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,B,26,65
14,14,13,14,19,16,4,10,3,2,17,15,4,19,11,17,9,15,12,16,16,15,11,16,3,16,17,13,10,14,13,6,13,9,13,8,170,L,R,3,2,77,39,68,72,70,76,76,80,88,70,87,81,84,78,76,78,83,83,88,62,70,94,73,76,50,85,8,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,A,31,63
10,12,17,14,18,15,13,16,4,10,18,15,12,19,13,14,13,15,12,12,14,18,13,14,9,14,16,13,12,14,18,16,17,16,17,17,191,R,B,7,5,83,60,88,88,82,73,71,74,86,74,88,87,93,94,81,89,85,82,85,77,85,92,79,64,50,70,8,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,26,84
5,12,14,5,12,5,8,10,10,12,10,5,18,14,14,14,13,13,14,12,15,12,7,12,12,12,11,14,15,15,13,8,14,15,12,12,183,R,R,3,3,62,78,83,85,92,91,85,85,65,74,67,66,66,72,56,76,60,56,65,64,73,70,78,80,50,70,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,B,22,72
5,10,9,6,12,4,14,6,10,15,12,8,16,13,17,15,18,10,12,12,9,6,8,12,15,15,6,14,13,14,14,13,14,14,15,14,186,L,L,5,4,66,78,85,78,84,80,80,73,74,75,73,78,78,83,67,86,69,61,69,78,82,74,71,82,50,77,8,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,C,29,82
12,15,12,10,14,14,5,13,3,8,12,12,11,13,7,11,8,11,12,13,14,9,12,13,12,15,8,15,14,14,12,7,15,14,14,10,175,R,L,6,4,72,68,73,81,82,81,77,80,85,78,76,81,79,85,78,82,80,80,87,68,72,83,81,77,50,75,8,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,B,33,65
4,9,13,8,12,6,17,8,9,15,13,6,16,13,15,16,16,15,13,13,15,12,15,12,16,14,13,15,10,10,13,15,14,12,15,17,194,R,B,5,3,66,85,94,82,79,71,81,63,78,80,77,75,78,75,62,82,63,55,58,87,80,76,70,78,50,80,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,26,99
5,9,8,6,13,3,16,1,8,15,13,8,17,13,15,14,19,10,10,12,16,4,10,6,16,14,5,16,14,9,13,12,14,14,17,16,186,R,B,5,5,60,80,85,82,81,77,84,73,76,75,76,78,77,78,67,78,68,64,63,79,86,76,68,82,50,72,8,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,C,27,82
11,12,16,14,16,12,12,11,4,4,16,13,7,18,14,13,10,15,11,15,16,19,6,16,6,12,15,11,13,15,12,9,15,12,11,8,180,R,B,6,4,86,50,77,84,79,81,84,86,91,77,82,75,80,72,81,83,80,70,78,73,77,90,85,70,50,80,8,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,B,19,70
11,13,12,15,15,11,15,11,7,5,12,15,9,13,20,15,20,14,13,15,19,15,12,17,6,17,14,18,14,11,14,14,10,15,14,17,188,R,B,6,5,83,45,87,85,82,75,83,69,79,78,77,74,77,75,82,78,82,60,73,77,80,81,88,84,50,82,8,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,B,31,86
13,15,16,13,16,10,8,11,8,5,16,11,6,17,10,15,11,12,12,13,13,19,10,17,8,11,15,13,14,16,14,6,16,14,12,10,176,R,B,5,3,78,43,81,83,80,85,83,90,87,86,80,79,79,78,76,79,76,65,78,67,76,86,86,78,50,75,8,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,23,71
5,10,14,13,16,11,18,14,9,7,14,14,10,15,15,14,14,13,12,12,15,14,12,14,9,12,11,15,15,15,10,14,13,17,14,12,189,R,B,7,4,86,43,85,84,87,87,84,74,81,87,77,72,76,73,74,82,78,67,76,87,78,81,90,59,50,76,8,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,B,26,85
9,12,15,14,14,9,13,12,5,10,15,13,9,14,14,13,14,14,13,14,15,14,14,15,8,17,13,19,14,12,14,14,8,13,15,15,183,R,B,6,7,80,62,81,89,83,81,79,75,85,83,79,74,79,77,77,84,70,75,77,75,77,85,81,73,50,85,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,B,28,80
12,12,13,12,13,10,12,13,10,11,14,12,14,14,14,14,15,14,14,14,14,11,16,14,13,15,14,15,12,13,15,13,16,12,15,14,180,R,B,6,5,75,68,78,95,81,80,83,81,78,80,78,82,79,76,71,80,70,65,70,67,72,77,80,83,50,83,8,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,28,74
13,12,15,13,15,13,15,12,7,13,16,12,14,16,8,16,12,15,17,15,15,15,13,15,15,14,16,14,13,13,12,13,14,14,14,12,181,L,B,5,5,79,77,83,92,80,78,85,74,88,82,79,82,84,79,80,84,85,69,74,84,81,88,83,91,50,90,8,5,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,B,25,70
9,10,11,7,13,8,12,10,7,13,15,11,16,13,13,14,13,14,13,14,16,9,12,9,13,16,14,17,14,11,12,10,18,14,16,15,180,R,B,4,4,68,83,83,85,76,77,85,70,76,69,78,78,79,80,66,77,64,65,71,75,81,82,63,80,50,86,8,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,A,24,71
17,15,16,13,16,17,6,14,2,7,16,14,6,17,9,12,11,13,12,14,15,16,10,14,9,15,15,16,15,17,11,7,14,15,14,9,171,L,B,4,3,76,60,72,88,80,84,79,88,86,82,80,78,83,78,73,80,77,81,82,64,68,87,76,70,50,81,8,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,24,62
16,15,13,12,15,14,9,14,6,13,16,10,14,14,14,15,15,15,17,15,16,10,14,15,15,17,15,16,13,13,15,9,14,13,15,12,176,R,B,5,5,76,71,83,92,76,78,80,82,83,78,85,78,88,76,76,82,73,84,87,63,70,84,78,78,50,94,8,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,B,27,73
12,16,11,8,14,14,9,10,10,13,13,5,15,14,12,13,13,15,12,12,15,8,11,15,13,16,13,17,13,13,14,9,16,13,17,12,178,R,R,5,5,74,62,80,89,82,80,77,79,76,77,77,77,91,85,65,80,66,83,86,70,76,79,82,72,50,68,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B,28,71
7,10,11,7,12,6,16,8,13,15,12,11,16,12,15,15,17,16,15,15,15,10,13,10,16,16,11,16,14,13,13,13,12,13,15,15,185,R,R,4,4,62,90,85,83,82,77,95,71,75,75,72,70,77,76,65,78,61,55,64,88,94,75,65,94,50,78,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,B,23,79
9,14,12,6,12,11,9,11,13,12,15,8,13,14,15,13,13,13,12,12,17,13,9,13,14,14,12,15,14,14,13,9,16,15,16,12,177,R,R,5,5,72,66,72,86,85,87,79,83,78,83,77,74,77,80,61,70,65,64,59,65,67,77,84,70,50,76,8,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,B,26,71
7,9,9,9,11,6,14,8,10,16,12,9,14,11,13,17,14,15,15,14,15,8,12,8,15,15,12,15,13,14,11,13,11,14,15,15,186,R,B,4,4,54,87,83,81,75,70,83,69,75,73,73,75,76,76,64,77,65,63,68,83,84,75,64,77,50,82,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,B,28,73
5,12,15,13,16,9,13,13,6,7,13,13,8,15,14,13,11,14,13,13,13,15,7,14,7,13,12,15,15,14,15,14,13,15,13,15,185,R,B,6,5,77,40,82,80,89,86,77,82,84,84,73,72,73,68,78,82,76,64,72,70,80,83,87,67,50,76,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,23,80
14,14,16,18,15,12,10,13,4,8,14,14,7,16,10,16,11,15,15,14,16,15,10,18,7,13,16,14,18,16,17,7,14,18,14,14,175,L,R,5,3,92,47,87,87,92,90,93,86,85,78,77,77,80,74,83,79,81,75,82,73,68,90,96,80,50,76,8,5,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,B,27,71
8,14,16,17,16,7,13,13,3,11,14,10,7,16,10,16,11,15,15,14,15,16,10,16,9,14,15,14,18,16,15,9,15,18,14,12,175,R,B,7,7,89,49,83,90,93,95,87,90,82,89,77,78,77,78,74,85,81,70,74,84,83,82,93,80,50,76,8,5,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,B,27,69
11,14,16,13,17,9,13,11,6,13,15,12,14,18,13,17,13,17,16,16,14,16,5,17,13,18,16,18,14,15,16,12,16,13,16,14,181,R,B,6,6,86,60,86,90,82,77,79,77,87,78,86,81,81,76,78,82,80,74,82,80,81,90,84,83,50,91,8,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,27,76
11,13,17,9,16,7,6,7,4,10,14,9,9,18,11,14,11,15,14,14,15,16,11,16,11,15,14,17,11,14,15,6,13,11,14,9,172,R,B,8,8,77,58,76,85,81,83,83,83,90,85,85,78,79,77,79,81,82,73,77,64,70,89,84,78,50,84,8,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,30,73
14,16,15,13,17,14,4,14,4,5,15,12,5,15,12,12,11,15,12,14,14,17,9,16,7,12,16,12,14,17,17,4,13,14,14,13,169,L,B,5,3,81,45,84,79,78,88,75,89,89,88,84,81,87,83,80,86,82,83,85,68,79,88,80,78,50,73,8,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,27,72
12,13,15,12,15,10,10,13,10,10,14,12,9,16,10,13,13,14,14,14,16,16,9,15,11,14,14,14,15,15,15,9,15,16,14,14,180,R,B,6,7,78,60,85,81,90,88,75,78,81,88,81,82,82,70,71,84,73,68,85,68,74,85,82,70,50,77,8,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,25,70
11,13,12,9,16,11,11,11,7,14,16,10,14,14,15,16,16,15,15,15,19,13,18,15,15,18,14,18,13,13,14,13,18,14,18,14,183,R,B,6,6,72,70,80,91,80,75,83,74,77,72,83,88,87,81,68,83,66,67,78,73,81,82,70,89,50,83,8,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,B,28,70
8,11,17,11,13,11,7,12,6,12,14,9,14,16,16,16,14,15,13,13,14,15,9,17,14,16,14,16,15,17,16,8,16,13,17,10,172,R,B,4,4,75,63,77,93,83,84,83,88,78,84,78,83,73,80,68,77,72,65,72,62,77,77,85,82,50,72,8,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,24,64
14,14,13,11,15,9,9,9,10,13,14,17,13,14,14,14,17,14,16,14,19,13,16,14,13,18,14,18,11,12,14,10,18,12,17,15,176,R,B,7,7,82,68,84,90,82,73,82,71,84,81,83,80,83,80,73,85,72,74,77,72,80,84,80,91,50,83,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,B,33,70
8,12,15,13,16,8,12,9,6,12,15,8,13,15,12,16,12,15,15,15,15,13,11,14,14,16,12,16,14,15,17,10,17,13,16,13,175,R,B,6,6,73,64,84,90,83,84,77,83,84,77,79,77,77,75,78,81,78,76,79,79,85,84,77,83,50,77,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,28,74
7,13,13,8,15,9,14,8,10,15,15,15,16,14,16,17,15,15,15,15,15,13,12,14,16,15,14,15,14,13,14,15,16,14,15,15,188,R,B,5,4,68,80,80,89,82,76,86,70,74,78,81,81,83,82,72,81,70,68,73,73,83,78,76,81,50,82,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,B,25,78
